von;datum_von;cluster_von;titel_von;nach;datum_nach;cluster_nach;titel_nach;konfidenz;label;cross_cluster;review_status;kommentar
jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;11.07.2024;ausland;Jenseits von Maastricht: Wie Europa an Souveränität gewinnen kann;weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;hoch;jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;ja;;
europas-truempfe-gegen-trump;12.02.2026;ausland;Europas Trümpfe gegen Trump;die-folgen-einer-euro-internationalisierung;14.11.2025;geldpolitik und anleihemärkte;Die Folgen einer Euro-Internationalisierung;hoch;europas-truempfe-gegen-trump;ja;;
europas-truempfe-gegen-trump;12.02.2026;ausland;Europas Trümpfe gegen Trump;die-zukunft-energieintensiver-industrien;01.03.2023;wirtschaftspolitik;Die Zukunft energieintensiver Industrien - Zwischenbericht Industrieprojekt;hoch;die-zukunft-energieintensiver-industrien;ja;;
europas-truempfe-gegen-trump;12.02.2026;ausland;Europas Trümpfe gegen Trump;jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;11.07.2024;ausland;Jenseits von Maastricht: Wie Europa an Souveränität gewinnen kann;hoch;jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;nein;;
eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;ein-kommunales-investitionsprogramm-fuer-das-naechste-jahrzehnt;14.04.2021;haushalt;Ein kommunales Investitionsprogramm für das nächste Jahrzehnt;hoch;Eine neue deutsche Finanzpolitik;ja;;
was-kosten-unsere-schulden;01.04.2021;geldpolitik und anleihemärkte;Was kosten unsere Schulden? Der Gegenwartswert deutscher Staatsschulden;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;hoch;Eine neue deutsche Finanzpolitik;ja;;
warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;01.08.2021;fiskalpolitik;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;hoch;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;nein;;
rechtsgutachten-konjunkturkomponente;01.11.2021;fiskalpolitik;Rechtsgutachten zur Konjunkturkomponente;warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;01.08.2021;fiskalpolitik;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;hoch;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;nein;;
weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;;;nein;;
statement-european-parliamentary-week-2023;28.02.2023;fiskalpolitik;Reforming EU economic governance - Statement at the European Parliamentary Week 2023;weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;hoch;weiterentwicklung-europaeische-fiskalregeln;nein;;
staatsverschuldung-monetaere-architektur-preussen-1740-1914;28.07.2023;fiskalpolitik;Staatsverschuldung und Transformation der monetaeren Architektur in Preussen und dem Deutschen Kaiserreich 1740-1914;bundeswertpapiere-zollstock-taschenmesser-goldbarren;21.09.2021;geldpolitik und anleihemärkte;Bundeswertpapiere: Zollstock, Taschenmesser, Goldbarren;hoch;bundeswertpapiere-zollstock-taschenmesser-goldbarren;ja;;
die-deutsche-schuldenquote-liegt-bei-47-prozent;30.05.2024;fiskalpolitik;Die deutsche Schuldenquote liegt bei 47 Prozent;weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;;;nein;;
eine-oekonomisch-sinnvolle-schuldenregel;25.02.2025;fiskalpolitik;Eine ökonomisch sinnvolle Schuldenregel;modernisierung-deutschlands-finanzieren;01.09.2024;haushalt;Wie wir die Modernisierung Deutschlands finanzieren;hoch;modernisierung-deutschlands-finanzieren;ja;;
eine-oekonomisch-sinnvolle-schuldenregel;25.02.2025;fiskalpolitik;Eine ökonomisch sinnvolle Schuldenregel;warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;01.08.2021;fiskalpolitik;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;hoch;warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;nein;;
ausgaben-fuer-die-dekarbonisierung;08.09.2021;haushalt;Ausgaben für die Dekarbonisierung;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;;;ja;;
klimaausgaben-in-schuldenregel;05.03.2025;fiskalpolitik;Wie sich Klimaausgaben in einer ökonomisch sinnvollen Schuldenregel berücksichtigen lassen;eine-oekonomisch-sinnvolle-schuldenregel;25.02.2025;fiskalpolitik;Eine ökonomisch sinnvolle Schuldenregel;hoch;eine-oekonomisch-sinnvolle-schuldenregel;nein;;
klimaausgaben-in-schuldenregel;05.03.2025;fiskalpolitik;Wie sich Klimaausgaben in einer ökonomisch sinnvollen Schuldenregel berücksichtigen lassen;the-baseline-is-wrong;25.04.2025;fiskalpolitik;The baseline is wrong: How debt sustainability analyses used in the EU ignore climate change;hoch;weiterentwicklung-europaeische-fiskalregeln;nein;;
the-baseline-is-wrong;25.04.2025;fiskalpolitik;The baseline is wrong: How debt sustainability analyses used in the EU ignore climate change;statement-european-parliamentary-week-2023;28.02.2023;fiskalpolitik;Reforming EU economic governance - Statement at the European Parliamentary Week 2023;hoch;ausgaben-fuer-die-dekarbonisierung;nein;;
eine-agenda-fuer-die-expertenkommission-zur-schuldenbremse;12.06.2025;fiskalpolitik;Eine Agenda für die Expertenkommission zur Schuldenbremse;eine-oekonomisch-sinnvolle-schuldenregel;25.02.2025;fiskalpolitik;Eine ökonomisch sinnvolle Schuldenregel;hoch;eine-oekonomisch-sinnvolle-schuldenregel;nein;;
potenzialwachstum-im-koalitionsvertrag;10.04.2025;makro;Wie viel Potenzialwachstum steckt im Koalitionsvertrag?;eine-oekonomisch-sinnvolle-schuldenregel;25.02.2025;fiskalpolitik;Eine ökonomisch sinnvolle Schuldenregel;;;ja;;
finanzpolitische-vorschlaege-fuer-die-21-legislaturperiode;28.02.2025;haushalt;Finanzpolitische Vorschläge für die 21. Legislaturperiode;potenzialwachstum-im-koalitionsvertrag;10.04.2025;makro;Wie viel Potenzialwachstum steckt im Koalitionsvertrag?;hoch;finanzpolitische-vorschlaege-fuer-die-21-legislaturperiode;ja;;
normative-wertungen-potenzialschaetzung;18.11.2025;fiskalpolitik;Zur Berücksichtigung normativer Wertungen im Verfahren der Potenzialschätzung;rechtsgutachten-konjunkturkomponente;01.11.2021;fiskalpolitik;Rechtsgutachten zur Konjunkturkomponente;hoch;rechtsgutachten-konjunkturkomponente;nein;;
bundeswertpapiere-zollstock-taschenmesser-goldbarren;21.09.2021;geldpolitik und anleihemärkte;Bundeswertpapiere: Zollstock, Taschenmesser, Goldbarren;was-kosten-unsere-schulden;01.04.2021;geldpolitik und anleihemärkte;Was kosten unsere Schulden? Der Gegenwartswert deutscher Staatsschulden;hoch;Was kosten unsere Schulden;nein;;
geldpolitische-implementierung-im-wandel;31.05.2022;geldpolitik und anleihemärkte;Geldpolitische Implementierung im Wandel;bundeswertpapiere-zollstock-taschenmesser-goldbarren;21.09.2021;geldpolitik und anleihemärkte;Bundeswertpapiere: Zollstock, Taschenmesser, Goldbarren;;;nein;;
zinsen-statt-geldmenge;14.10.2022;geldpolitik und anleihemärkte;Zinsen statt Geldmenge;geldpolitische-implementierung-im-wandel;31.05.2022;geldpolitik und anleihemärkte;Geldpolitische Implementierung im Wandel;hoch;zinsen-statt-geldmenge;nein;;
gesunde-oeffentliche-finanzen-im-europarecht;30.11.2022;geldpolitik und anleihemärkte;Gesunde oeffentliche Finanzen im Europarecht;zinsen-statt-geldmenge;14.10.2022;geldpolitik und anleihemärkte;Zinsen statt Geldmenge;hoch;weiterentwicklung-europaeische-fiskalregeln;nein;;
overcoming-myopia-ecb-2025-strategy-review;05.05.2025;geldpolitik und anleihemärkte;Overcoming myopia in the ECB's 2025 monetary policy strategy review;gesunde-oeffentliche-finanzen-im-europarecht;30.11.2022;geldpolitik und anleihemärkte;Gesunde oeffentliche Finanzen im Europarecht;;;nein;;
spreads-auf-staatsanleihezinsen-ezb-eurozone;26.07.2023;geldpolitik und anleihemärkte;Spreads auf Staatsanleihezinsen, der EZB-Sicherheitenrahmen und Peripheriepraemien in der Eurozone;weiterentwicklung-europaeische-fiskalregeln;05.05.2022;fiskalpolitik;Zur Weiterentwicklung der europäischen Fiskalregeln;hoch;weiterentwicklung-europaeische-fiskalregeln;ja;;
applaus-statt-schlagstock-finanzmarktreaktion-fiskalpaket;12.03.2025;geldpolitik und anleihemärkte;Applaus statt Schlagstock - Reaktion der Finanzmaerkte auf das Fiskalpaket;spreads-auf-staatsanleihezinsen-ezb-eurozone;26.07.2023;geldpolitik und anleihemärkte;Spreads auf Staatsanleihezinsen, der EZB-Sicherheitenrahmen und Peripheriepraemien in der Eurozone;hoch;eine-oekonomisch-sinnvolle-schuldenregel;nein;;
overcoming-myopia-ecb-2025-strategy-review;05.05.2025;geldpolitik und anleihemärkte;Overcoming myopia in the ECB's 2025 monetary policy strategy review;zinsen-statt-geldmenge;14.10.2022;geldpolitik und anleihemärkte;Zinsen statt Geldmenge;hoch;geldpolitische-implementierung-im-wandel;nein;;
die-folgen-einer-euro-internationalisierung;14.11.2025;geldpolitik und anleihemärkte;Die Folgen einer Euro-Internationalisierung;overcoming-myopia-ecb-2025-strategy-review;05.05.2025;geldpolitik und anleihemärkte;Overcoming myopia in the ECB's 2025 monetary policy strategy review;hoch;jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;nein;;
zinserhoehungen-wirken-weniger-als-erwartet;10.02.2026;geldpolitik und anleihemärkte;Zinserhöhungen wirken weniger als erwartet;overcoming-myopia-ecb-2025-strategy-review;05.05.2025;geldpolitik und anleihemärkte;Overcoming myopia in the ECB's 2025 monetary policy strategy review;hoch;overcoming-myopia-ecb-2025-strategy-review;nein;;
kommunale-klimaschutzinvestitionen-und-deren-finanzierung;28.07.2022;haushalt;Kommunale Klimaschutzinvestitionen und deren Finanzierung;ausgaben-fuer-die-dekarbonisierung;08.09.2021;haushalt;Ausgaben für die Dekarbonisierung;hoch;ausgaben-fuer-die-dekarbonisierung;nein;;
ein-kommunales-investitionsprogramm-fuer-das-naechste-jahrzehnt;14.04.2021;haushalt;Ein kommunales Investitionsprogramm für das nächste Jahrzehnt;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;;;ja;;
bahn-strassen-finanzieren-ohne-schuldenbremse;09.07.2024;haushalt;Wie wir Bahn und Straßen finanzieren - ohne die Schuldenbremse zu ändern;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;hoch;die-deutsche-schuldenquote-liegt-bei-47-prozent;ja;;
modernisierung-deutschlands-finanzieren;01.09.2024;haushalt;Wie wir die Modernisierung Deutschlands finanzieren;was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;hoch;bahn-strassen-finanzieren-ohne-schuldenbremse;nein;;
modernisierung-deutschlands-finanzieren;01.09.2024;haushalt;Wie wir die Modernisierung Deutschlands finanzieren;eine-neue-deutsche-finanzpolitik;01.06.2021;fiskalpolitik;Eine neue deutsche Finanzpolitik;hoch;eine-neue-deutsche-finanzpolitik;ja;;
was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;kommunale-klimaschutzinvestitionen-und-deren-finanzierung;28.07.2022;haushalt;Kommunale Klimaschutzinvestitionen und deren Finanzierung;hoch;modernisierung-deutschlands-finanzieren;nein;;
finanzpolitische-vorschlaege-fuer-die-21-legislaturperiode;28.02.2025;haushalt;Finanzpolitische Vorschläge für die 21. Legislaturperiode;reform-der-einkommensteuer;21.01.2025;makro;Reform der Einkommensteuer - Vorschlaege aus den Wahlprogrammen, ihre Kosten und Wachstumseffekte;hoch;reform-der-einkommensteuer;ja;;
reform-der-einkommensteuer;21.01.2025;makro;Reform der Einkommensteuer - Vorschlaege aus den Wahlprogrammen, ihre Kosten und Wachstumseffekte;warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;01.08.2021;fiskalpolitik;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt;;;ja;;
bedarf-von-700-milliarden-euro-verteidigung-bis-2040;26.03.2025;haushalt;Bedarf von 700 Milliarden Euro - Was uns Verteidigung bis 2040 kostet;was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;hoch;bedarf-von-700-milliarden-euro-verteidigung-bis-2040;nein;;
entgleist;22.05.2025;haushalt;Entgleist: Wie eine intransparente und komplexe Finanzierungsstruktur die Kosten der Schiene in die Höhe treibt;was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;30.09.2024;haushalt;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands;hoch;bahn-strassen-finanzieren-ohne-schuldenbremse;nein;;
nur-3-prozent-spielraum;07.07.2025;haushalt;Nur 3% Spielraum - Warum der Bundeshaushalt reformiert werden sollte und wie;eine-agenda-fuer-die-expertenkommission-zur-schuldenbremse;12.06.2025;fiskalpolitik;Eine Agenda für die Expertenkommission zur Schuldenbremse;hoch;eine-agenda-fuer-die-expertenkommission-zur-schuldenbremse;ja;;
zero-fiscal-space;04.09.2025;haushalt;Zero Fiscal Space: Why the German federal budget should be reformed - and how;nur-3-prozent-spielraum;07.07.2025;haushalt;Nur 3% Spielraum - Warum der Bundeshaushalt reformiert werden sollte und wie;hoch;eine-agenda-fuer-die-expertenkommission-zur-schuldenbremse;nein;;
eckpunkte-fuer-die-finanzierung-eines-zukunftsfaehigen-verkehrssystems;01.11.2025;haushalt;Eckpunkte für die Finanzierung eines zukunftsfähigen Verkehrssystems;entgleist;22.05.2025;haushalt;Entgleist: Wie eine intransparente und komplexe Finanzierungsstruktur die Kosten der Schiene in die Höhe treibt;hoch;eckpunkte-fuer-die-finanzierung-eines-zukunftsfaehigen-verkehrssystems;nein;;
5-milliarden-spielraum-im-sozialstaat-gewinnen;28.01.2026;haushalt;5 Milliarden Spielraum im Sozialstaat gewinnen;finanzpolitische-vorschlaege-fuer-die-21-legislaturperiode;28.02.2025;haushalt;Finanzpolitische Vorschläge für die 21. Legislaturperiode;hoch;5-milliarden-spielraum-im-sozialstaat-gewinnen;nein;;
sozialstaatsreform-sparen-ohne-kuerzen;29.01.2026;haushalt;Sozialstaatsreform: Sparen ohne Kürzen?;5-milliarden-spielraum-im-sozialstaat-gewinnen;28.01.2026;haushalt;5 Milliarden Spielraum im Sozialstaat gewinnen;hoch;sozialstaatsreform-sparen-ohne-kuerzen;nein;;
