id;clusterA;clusterB;datum;titel
jenseits-von-maastricht-wie-europa-an-souveraenitaet-gewinnen-kann;Souveränität;ausland;11.07.2024;Jenseits von Maastricht: Wie Europa an Souveränität gewinnen kann
europas-truempfe-gegen-trump;Souveränität;ausland;12.02.2026;Europas Trümpfe gegen Trump
eine-neue-deutsche-finanzpolitik;Finanzpolitik;fiskalpolitik;01.06.2021;Eine neue deutsche Finanzpolitik
warum-die-konjunkturkomponente-ihren-zweck-nicht-mehr-erfuellt;Finanzpolitik;fiskalpolitik;01.08.2021;Warum die Konjunkturkomponente ihren Zweck nicht mehr erfüllt
rechtsgutachten-konjunkturkomponente;Finanzpolitik;fiskalpolitik;01.11.2021;Rechtsgutachten zur Konjunkturkomponente
weiterentwicklung-europaeische-fiskalregeln;Finanzpolitik;fiskalpolitik;05.05.2022;Zur Weiterentwicklung der europäischen Fiskalregeln
introductory-statement-at-the-econ-committee;Finanzpolitik;fiskalpolitik;30.11.2022;Introductory Statement at the ECON Committee: On Shrinking the Public Balance Sheet and the Use of Debt Sustainability Analyses
statement-european-parliamentary-week-2023;Finanzpolitik;fiskalpolitik;28.02.2023;Reforming EU economic governance - Statement at the European Parliamentary Week 2023
staatsverschuldung-monetaere-architektur-preussen-1740-1914;Finanzpolitik;fiskalpolitik;28.07.2023;Staatsverschuldung und Transformation der monetaeren Architektur in Preussen und dem Deutschen Kaiserreich 1740-1914
die-deutsche-schuldenquote-liegt-bei-47-prozent;Finanzpolitik;fiskalpolitik;30.05.2024;Die deutsche Schuldenquote liegt bei 47 Prozent
kritik-an-lars-felds-schuldenbremse-studie;Finanzpolitik;fiskalpolitik;11.07.2024;Die Schuldenbremse - ein Garant für nachhaltige Haushaltspolitik? Eine Kritik von Feld et al.
die-konjunkturkomponente-wurde-angepasst;Finanzpolitik;fiskalpolitik;26.07.2024;Die Konjunkturkomponente wurde angepasst - ein guter Anfang und noch Luft nach oben
eine-oekonomisch-sinnvolle-schuldenregel;Finanzpolitik;fiskalpolitik;25.02.2025;Eine ökonomisch sinnvolle Schuldenregel
klimaausgaben-in-schuldenregel;Finanzpolitik;fiskalpolitik;05.03.2025;Wie sich Klimaausgaben in einer ökonomisch sinnvollen Schuldenregel berücksichtigen lassen
the-baseline-is-wrong;Finanzpolitik;fiskalpolitik;25.04.2025;The baseline is wrong: How debt sustainability analyses used in the EU ignore climate change
eine-agenda-fuer-die-expertenkommission-zur-schuldenbremse;Finanzpolitik;fiskalpolitik;12.06.2025;Eine Agenda für die Expertenkommission zur Schuldenbremse
normative-wertungen-potenzialschaetzung;Finanzpolitik;fiskalpolitik;18.11.2025;Zur Berücksichtigung normativer Wertungen im Verfahren der Potenzialschätzung
was-kosten-unsere-schulden;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;01.04.2021;Was kosten unsere Schulden? Der Gegenwartswert deutscher Staatsschulden
bundeswertpapiere-zollstock-taschenmesser-goldbarren;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;21.09.2021;Bundeswertpapiere: Zollstock, Taschenmesser, Goldbarren
geldpolitische-implementierung-im-wandel;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;31.05.2022;Geldpolitische Implementierung im Wandel
zinsen-statt-geldmenge;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;14.10.2022;Zinsen statt Geldmenge
gesunde-oeffentliche-finanzen-im-europarecht;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;30.11.2022;Gesunde oeffentliche Finanzen im Europarecht
spreads-auf-staatsanleihezinsen-ezb-eurozone;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;26.07.2023;Spreads auf Staatsanleihezinsen, der EZB-Sicherheitenrahmen und Peripheriepraemien in der Eurozone
applaus-statt-schlagstock-finanzmarktreaktion-fiskalpaket;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;12.03.2025;Applaus statt Schlagstock - Reaktion der Finanzmaerkte auf das Fiskalpaket
overcoming-myopia-ecb-2025-strategy-review;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;05.05.2025;Overcoming myopia in the ECB's 2025 monetary policy strategy review
die-folgen-einer-euro-internationalisierung;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;14.11.2025;Die Folgen einer Euro-Internationalisierung
zinserhoehungen-wirken-weniger-als-erwartet;geldpolitik und anleihemärkte;geldpolitik und anleihemärkte;10.02.2026;Zinserhöhungen wirken weniger als erwartet
ein-kommunales-investitionsprogramm-fuer-das-naechste-jahrzehnt;Finanzpolitik;haushalt;14.04.2021;Ein kommunales Investitionsprogramm für das nächste Jahrzehnt
ausgaben-fuer-die-dekarbonisierung;Dekarbonisierung;haushalt;08.09.2021;Ausgaben für die Dekarbonisierung
kommunale-klimaschutzinvestitionen-und-deren-finanzierung;Dekarbonisierung;haushalt;28.07.2022;Kommunale Klimaschutzinvestitionen und deren Finanzierung
bahn-strassen-finanzieren-ohne-schuldenbremse;Verkehr;haushalt;09.07.2024;Wie wir Bahn und Straßen finanzieren - ohne die Schuldenbremse zu ändern
modernisierung-deutschlands-finanzieren;Finanzpolitik;haushalt;01.09.2024;Wie wir die Modernisierung Deutschlands finanzieren
was-kostet-eine-sichere-lebenswerte-und-nachhaltige-zukunft;Finanzpolitik;haushalt;30.09.2024;Was kostet eine sichere, lebenswerte und nachhaltige Zukunft? Öffentliche Finanzbedarfe für die Modernisierung Deutschlands
finanzpolitische-vorschlaege-fuer-die-21-legislaturperiode;Finanzpolitik;haushalt;28.02.2025;Finanzpolitische Vorschläge für die 21. Legislaturperiode
bedarf-von-700-milliarden-euro-verteidigung-bis-2040;Souveränität;haushalt;26.03.2025;Bedarf von 700 Milliarden Euro - Was uns Verteidigung bis 2040 kostet
entgleist;Verkehr;haushalt;22.05.2025;Entgleist: Wie eine intransparente und komplexe Finanzierungsstruktur die Kosten der Schiene in die Höhe treibt
nur-3-prozent-spielraum;Finanzpolitik;haushalt;07.07.2025;Nur 3% Spielraum - Warum der Bundeshaushalt reformiert werden sollte und wie
zero-fiscal-space;Finanzpolitik;haushalt;04.09.2025;Zero Fiscal Space: Why the German federal budget should be reformed - and how
eckpunkte-fuer-die-finanzierung-eines-zukunftsfaehigen-verkehrssystems;Verkehr;haushalt;01.11.2025;Eckpunkte für die Finanzierung eines zukunftsfähigen Verkehrssystems
5-milliarden-spielraum-im-sozialstaat-gewinnen;Sozialstaat;haushalt;28.01.2026;5 Milliarden Spielraum im Sozialstaat gewinnen
sozialstaatsreform-sparen-ohne-kuerzen;Sozialstaat;haushalt;29.01.2026;Sozialstaatsreform: Sparen ohne Kürzen?
wie-viel-bang-for-the-buck-steckt-in-subventionen;Wirtschaft;haushalt;05.02.2026;Wie viel Bang for the Buck steckt in Subventionen?
der-sanierungskostendeckel;Wohnen;haushalt;20.02.2026;Der Sanierungskostendeckel
bildungsfinanzchaos-wer-bestellt-bezahlt-meist-nicht;Bildung;haushalt;26.02.2026;Bildungsfinanzchaos: Wer bestellt, bezahlt meist nicht
das-bildungsfinanzgeflecht;Bildung;haushalt;26.02.2026;Das Bildungsfinanzgeflecht
bundeshaushaltsmonitor-2026;Finanzpolitik;haushalt;31.03.2026;Bundeshaushaltsmonitor 2026
eine-kurze-fiskalgeschichte-der-deutschen-wohnungspolitik;Wohnen;haushalt;31.03.2026;Eine kurze Fiskalgeschichte der deutschen Wohnungspolitik
wohnungspolitik-in-einer-teuren-sackgasse;Wohnen;haushalt;31.03.2026;Wohnungspolitik in einer teuren Sackgasse
reformen-brauchen-kitas;Bildung;haushalt;16.04.2026;Reformen brauchen Kitas
wer-reformen-will-muss-kitas-bauen;Bildung;haushalt;16.04.2026;Wer Reformen will, muss Kitas bauen
effekte-staatlicher-beteiligungen-auf-den-stromnetzausbau;Energie;infra;01.12.2024;Effekte staatlicher Beteiligungen auf den Stromübertragungsnetzausbau
investitionen-in-eine-zukunftsfaehige-daseinsvorsorge;Energie;infra;01.01.2025;Investitionen in eine zukunftsfähige Daseinsvorsorge: Von kleinen Stadtwerken bis zum Konzern
stromnetzausbau-kapital-mobilisieren-netzentgelte-reduzieren;Energie;infra;03.06.2025;Stromnetzausbau: Kapital mobilisieren, Netzentgelte reduzieren
was-taugt-der-deutschlandfonds;Energie;infra;22.01.2026;Was taugt der Deutschlandfonds?
eigenkapital-fuer-die-energiewende;Energie;infra;22.04.2026;Eigenkapital für die Energiewende
alle-versorger-versorgen-ein-deutschland-standard-fuer-die-energiewende;Energie;infra;23.04.2026;Alle Versorger versorgen: ein Deutschland-Standard für die Energiewende
wirtschaftliche-mehrkosten-durch-energiepreisanstiege;Energie;makro;17.03.2022;Wirtschaftliche Mehrkosten durch Energiepreisanstiege: eine Schätzung
die-arbeitsmarktampel;Arbeitsmarkt;makro;15.06.2022;Die Arbeitsmarktampel
wie-sieht-ein-guter-arbeitsmarkt-aus;Arbeitsmarkt;makro;23.06.2022;Wie sieht ein guter Arbeitsmarkt aus? Indikatoren für einen Perspektivwechsel
gaspreisbremse-transparenz;Energie;makro;28.10.2022;Wieso es möglichst bald eine möglichst transparente Gaspreisbremse braucht
italiens-stagnation-verstehen;Wirtschaft;makro;11.05.2023;Italiens Stagnation verstehen
16-gruende-fuer-schnelles-handeln-kipppunkte-und-klimapolitik;Dekarbonisierung;makro;07.06.2023;16 Gruende fuer schnelles Handeln - Kipppunkte und Klimapolitik
fossil-fuel-to-the-fire;Energie;makro;21.11.2023;Fossil Fuel to the Fire: Energy and Inflation in Europe
belastungswirkung-von-klimapolitik;Dekarbonisierung;makro;08.05.2024;Belastungswirkung von Klimapolitik - Impulse fuer ein umfassendes Verstaendnis
ambitioniert-aber-vertretbar-einordnung-16-euro-mindestlohn;Arbeitsmarkt;makro;05.06.2024;Ambitioniert aber vertretbar - Einordnung eines 16-Euro-Mindestlohns
reform-der-einkommensteuer;Finanzpolitik;makro;21.01.2025;Reform der Einkommensteuer - Vorschlaege aus den Wahlprogrammen, ihre Kosten und Wachstumseffekte
potenzialwachstum-im-koalitionsvertrag;Wirtschaft;makro;10.04.2025;Wie viel Potenzialwachstum steckt im Koalitionsvertrag?
booster-fuer-die-konjunktur-krux-arbeitsmarkt;Wirtschaft;makro;27.06.2025;Booster fuer die Konjunktur aber die Krux bleibt der Arbeitsmarkt
das-lebensqualitaetsminimum;Arbeitsmarkt;makro;01.07.2025;Das Lebensqualitaetsminimum - Neue Orientierung fuer einen angemessenen Lebensstandard
us-iran-krieg-inflationsschock-in-der-eu-von-2-prozentpunkten-moeglich;Energie;makro;06.03.2026;US-Iran-Krieg – Inflationsschock in der EU von 2 Prozentpunkten möglich
hawkish-winds-wie-zinsen-die-energiewende-treffen;Energie;makro;19.03.2026;Hawkish Winds: Wie Zinsen die Energiewende treffen
emissionshandel-auf-dem-pruefstand;Wirtschaft;wirtschaftspolitik;19.11.2021;Effektiv und mehrheitsfähig? Der Emissionshandel auf dem Prüfstand
stellungnahme-ausschuss-klimaschutz-energie-bundestag;Energie;wirtschaftspolitik;01.01.2023;Stellungnahme vor dem Ausschuss fuer Klimaschutz und Energie des Deutschen Bundestags
die-zukunft-energieintensiver-industrien;Wirtschaft;wirtschaftspolitik;01.03.2023;Die Zukunft energieintensiver Industrien - Zwischenbericht Industrieprojekt
lng-energiesicherheit-und-klimaschutz;Energie;wirtschaftspolitik;22.06.2023;LNG, Energiesicherheit und Klimaschutz: Wege aus dem Spannungsfeld
implikationen-langfristiger-energiekostenunterschiede-fuer-energieintensive-industrien-und-den-wirtsc;Energie;wirtschaftspolitik;01.08.2023;Implikationen langfristiger Energiekostenunterschiede für energieintensive Industrien und den Wirtschaftsstandort Deutschland
intel-magdeburg-analyse-de;Wirtschaft;wirtschaftspolitik;17.09.2024;Zurecht umstritten: Eine industriepolitische Analyse der Intel-Magdeburg Subvention
stromsubvention-als-konjunkturpolitik;Energie;wirtschaftspolitik;23.06.2025;Stromsubvention als Konjunkturpolitik: Ökonomische Erwägungen zum geplanten Strompreispaket
comeback-deutschland-industrie-turnarounds;Wirtschaft;wirtschaftspolitik;15.01.2026;Comeback Deutschland - Industrie-Turnarounds und was wir von ihnen lernen koennen
wie-china-markt-fuer-markt-erobert;Wirtschaft;wirtschaftspolitik;07.05.2026;Wie China Markt für Markt erobert
